"request_creation_time" "request_url" "target_processing_time" "request_verb" 
"2022-04-25T06:23:25.252000Z" "https://api.kobiton.com:443/v1/sessions/4153981/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "31.024" "GET" 
"2022-04-25T06:13:35.063000Z" "https://api.kobiton.com:443/v1/sessions/4153941/ksl-actions" "30.996" "GET" 
"2022-04-25T06:04:17.600000Z" "https://api.kobiton.com:443/v1/sessions/4153731/revisit-plans" "30.567" "GET" 
"2022-04-25T03:31:59.047000Z" "https://api.kobiton.com:443/v1/sessions/4153541/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "30.289" "GET" 
"2022-04-25T03:31:59.052000Z" "https://api.kobiton.com:443/v1/sessions/4153541/revisitPlanDetail" "30.226" "GET" 
"2022-04-25T09:06:43.967000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=iOS&category=PHONE&category=ANY&sessionId=4154569" "30.075" "GET" 
"2022-04-25T03:31:59.429000Z" "https://api.kobiton.com:443/v1/sessions/4153541/ksl-actions" "30.023" "GET" 
"2022-04-25T02:25:32.968000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=Android&category=PHONE&category=ANY&sessionId=4153428" "30.015" "GET" 
"2022-04-25T04:00:22.388000Z" "https://api.kobiton.com:443/v1/sessions/4153599/test-script-generation-info" "29.885" "GET" 
"2022-04-25T04:40:49.555000Z" "https://api.kobiton.com:443/v1/sessions/4153720/ksl-metadata" "29.765" "GET" 
"2022-04-25T02:25:32.576000Z" "https://api.kobiton.com:443/v1/sessions/4153428/revisitPlanDetail" "29.661" "GET" 
"2022-04-25T04:45:41.566000Z" "https://api.kobiton.com:443/v1/sessions/4153718/revisit-plans" "29.454" "GET" 
"2022-04-25T05:08:38.164000Z" "https://api.kobiton.com:443/v1/revisitPlans/start" "29.284" "POST" 
"2022-04-25T04:42:26.400000Z" "https://api.kobiton.com:443/v1/sessions/4153718/ksl-metadata" "28.643" "GET" 
"2022-04-25T00:02:44.711000Z" "https://api.kobiton.com:443/v1/test-cases/groups?omitEmptyTestCaseGroups=true" "28.398" "GET" 
"2022-04-25T04:41:39.855000Z" "https://api.kobiton.com:443/v1/sessions/4153720/ksl-actions" "28.365" "GET" 
"2022-04-25T04:40:51.303000Z" "https://api.kobiton.com:443/v1/sessions/4153718/ksl-actions" "28.34" "GET" 
"2022-04-25T04:17:54.038000Z" "https://api.kobiton.com:443/v1/data-sets" "27.953" "POST" 
"2022-04-25T03:57:59.397000Z" "https://api.kobiton.com:443/v1/sessions/4153585/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "27.413" "GET" 
"2022-04-25T04:02:01.612000Z" "https://api.kobiton.com:443/v1/sessions/4153611/revisit-plans" "27.247" "GET" 
"2022-04-25T06:35:08.512000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=Android&category=PHONE&category=ANY&sessionId=4154040" "27.022" "GET" 
"2022-04-25T02:54:00.383000Z" "https://api.kobiton.com:443/v1/sessions/4153478/test-script-generation-info" "26.418" "GET" 
